lr,batch_size,gamma,expl,run_id,mean_reward,std_reward,tau
0.001,64,0.99,0.2,0,-6.973999999999999,9.710979559241178,
0.0005,128,0.99,0.3,1,-5.388999999999999,7.771212839705267,
0.0001,32,0.95,0.1,2,-3.5409999999999995,0.5764798348598154,
0.001,64,0.9,0.5,3,-3.724,2.215857396133605,
0.002,256,0.99,0.2,4,-3.809,0.314752283550096,
0.001,64,0.99,0.1,5,-12.32,17.94711508850378,
0.0005,64,0.995,0.2,6,-4.485,1.803625515454913,
0.001,64,0.99,0.2,7,-4.035,0.044999999999999846,0.5
0.0001,128,0.99,0.2,8,-3.289,0.6256908182161537,
0.001,64,0.8,0.3,9,-2.7309999999999994,0.4642725492638995,
